Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
385,45,49.251599,47.395714,0.986495,1.000000
386,45,49.251599,47.395714,0.986530,1.000000
387,45,49.251599,47.395714,0.986564,1.000000
388,44,50.558682,48.624370,0.986599,1.000000
389,44,50.558682,48.624370,0.986633,1.000000
390,44,50.558682,48.624370,0.986668,1.000000
391,44,50.558682,48.624370,0.986702,1.000000
392,45,50.144266,48.225809,0.986736,1.000000
393,45,50.144266,48.225809,0.986770,1.000000
394,46,49.736590,47.833730,0.986803,1.000000
395,45,51.000568,49.088048,0.986837,1.000000
396,46,50.589273,48.692177,0.986870,1.000000
397,46,50.589273,48.692177,0.986903,1.000000
398,46,50.589273,48.692177,0.986936,1.000000
399,47,50.184559,48.302640,0.986968,1.000000
400,47,50.184559,48.302640,0.987001,1.000000
401,47,50.184559,48.302640,0.987033,1.000000
402,48,49.786269,47.919285,0.987066,1.000000
403,48,49.786269,47.919285,0.987098,1.000000
404,48,49.786269,47.919285,0.987130,1.000000
405,48,49.786269,47.919285,0.987162,1.000000
406,49,49.394251,47.541968,0.987193,1.000000
407,49,49.394251,47.541968,0.987225,1.000000
408,49,49.394251,47.541968,0.987256,1.000000
409,49,49.394251,47.541968,0.987287,1.000000
410,49,49.394251,47.541968,0.987318,1.000000
411,50,49.008358,47.170546,0.987349,1.000000
412,51,48.628449,46.804883,0.987380,1.000000
413,51,48.628449,46.804883,0.987410,1.000000
414,52,48.254384,46.444846,0.987441,1.000000
415,52,48.254384,46.444846,0.987471,1.000000
416,50,50.944263,49.104650,0.987501,1.000000
417,50,50.944263,49.104650,0.987531,1.000000
418,50,50.944263,49.104650,0.987561,1.000000
419,50,51.883482,49.976866,0.987591,1.000000
420,50,51.883482,49.976866,0.987620,1.000000
421,50,51.883482,49.976866,0.987649,1.000000
422,50,51.883482,49.976866,0.987679,1.000000
423,50,51.883482,49.976866,0.987708,1.000000
424,50,51.883482,49.976866,0.987737,1.000000
425,50,51.883482,49.976866,0.987766,1.000000
426,51,51.490426,49.598253,0.987794,1.000000
427,51,51.490426,49.598253,0.987823,1.000000
428,50,52.795956,50.899687,0.987851,1.000000
429,50,52.795956,50.899687,0.987880,1.000000
430,50,52.795956,50.899687,0.987908,1.000000
431,50,52.795956,50.899687,0.987936,1.000000
432,50,52.795956,50.899687,0.987964,1.000000
433,50,52.795956,50.899687,0.987992,1.000000
434,50,52.795956,50.899687,0.988019,1.000000
435,50,52.795956,50.899687,0.988047,1.000000
436,49,54.162925,52.225504,0.988074,1.000000
437,50,53.755685,51.832831,0.988102,1.000000
438,50,53.755685,51.832831,0.988129,1.000000
439,50,53.755685,51.832831,0.988156,1.000000
440,50,53.755685,51.832831,0.988183,1.000000
441,51,53.354523,51.446019,0.988210,1.000000
442,51,53.354523,51.446019,0.988236,1.000000
443,52,52.959305,51.064937,0.988263,1.000000
444,53,52.569898,50.689460,0.988289,1.000000
445,53,52.569898,50.689460,0.988316,1.000000
446,54,52.186176,50.319464,0.988342,1.000000
447,53,53.539824,51.646140,0.988368,1.000000
448,53,53.539824,51.646140,0.988394,1.000000
449,53,53.539824,51.646140,0.988420,1.000000
450,53,53.539824,51.646140,0.988445,1.000000
451,54,53.151854,51.271892,0.988471,1.000000
452,55,52.769467,50.903030,0.988497,1.000000
453,55,52.769467,50.903030,0.988522,1.000000
454,55,52.769467,50.903030,0.988547,1.000000
455,56,52.392542,50.539437,0.988572,1.000000
456,56,52.392542,50.539437,0.988597,1.000000
457,56,52.392542,50.539437,0.988622,1.000000
458,56,52.392542,50.539437,0.988647,1.000000
459,56,52.392542,50.539437,0.988672,1.000000
460,56,52.392542,50.539437,0.988697,1.000000
461,57,52.020963,50.181001,0.988721,1.000000
462,58,51.654619,49.827614,0.988746,1.000000
463,58,51.654619,49.827614,0.988770,1.000000
464,59,51.293398,49.479169,0.988794,1.000000
465,58,52.693384,50.871729,0.988818,1.000000
466,58,52.693384,50.871729,0.988842,1.000000
467,59,52.327458,50.518453,0.988866,1.000000
468,59,52.327458,50.518453,0.988890,1.000000
469,59,52.327458,50.518453,0.988913,1.000000
470,59,52.327458,50.518453,0.988937,1.000000
471,58,53.752775,51.909880,0.988961,1.000000
472,58,53.752775,51.909880,0.988984,1.000000
473,58,53.752775,51.909880,0.989007,1.000000
474,59,54.407472,52.586714,0.989030,1.000000
475,58,55.803004,53.937470,0.989054,1.000000
476,58,55.803004,53.937470,0.989077,1.000000
477,59,55.423391,53.570549,0.989099,1.000000
478,59,55.423391,53.570549,0.989122,1.000000
479,58,56.790263,54.931630,0.989145,1.000000
480,58,56.790263,54.931630,0.989168,1.000000
481,59,56.406545,54.560470,0.989190,1.000000
482,59,56.406545,54.560470,0.989212,1.000000
483,60,56.027977,54.194292,0.989235,1.000000
484,61,55.654458,53.832997,0.989257,1.000000
485,61,55.654458,53.832997,0.989279,1.000000
486,61,55.654458,53.832997,0.989301,1.000000
487,62,55.285885,53.476487,0.989323,1.000000
488,64,54.563194,52.777448,0.989345,1.000000
489,65,54.208887,52.434737,0.989367,1.000000
