,L,Mean n-L
906,906,92.38793946307085
907,907,92.38948526266473
908,908,92.39103112523425
909,909,92.39257705078325
910,910,92.39412303931555
911,911,92.39565890525373
912,912,92.39718464797915
913,913,92.3987104528694
914,914,92.40023122682639
915,915,92.40175206274829
916,916,92.4032729606389
917,917,92.404793920502
918,918,92.40632003585836
919,919,92.40784111978158
920,920,92.40937245313773
921,921,92.41090384889668
922,922,92.41243530706222
923,923,92.4139719216741
924,924,92.41550859890782
925,925,92.41704024452369
926,926,92.41857195256144
927,927,92.42010372302488
928,928,92.42164065047278
929,929,92.42317254590287
930,930,92.42470959853271
931,931,92.42624671381117
932,932,92.42779408168256
933,933,92.4293415126256
934,934,92.43088900664411
935,935,92.43244165902374
936,936,92.43397908853743
937,937,92.43551148523328
938,938,92.43704394439689
939,939,92.43857137033488
940,940,92.44010395434162
941,941,92.44163150492264
942,942,92.44315911777896
943,943,92.44469188902706
944,944,92.44622981898239
945,945,92.44776781163999
946,946,92.44930586700372
947,947,92.45084398507737
948,948,92.45238216586479
949,949,92.45392040936984
950,950,92.45545871559634
951,951,92.4569970845481
952,952,92.458535516229
953,953,92.46007401064286
954,954,92.4616125677935
955,955,92.46315118768477
956,956,92.46469496778403
957,957,92.46624390840691
958,958,92.46779800986909
959,959,92.46935217471096
960,960,92.4709013050571
961,961,92.47244540059953
962,962,92.47399975529181
963,963,92.47554907518813
964,964,92.47709845827555
965,965,92.47865300295707
966,966,92.48021270954848
967,967,92.48177247975853
968,968,92.48333231359112
969,969,92.48489221105015
970,970,92.48645217213951
971,971,92.48800709784005
972,972,92.48956718609774
973,973,92.4911222387664
974,974,92.49267735487292
975,975,92.49422743498215
976,976,92.49578267787206
977,977,92.4973379842115
978,978,92.49889845375546
979,979,92.50045898696477
980,980,92.50201958384334
981,981,92.50358534445827
982,982,92.50515116895834
983,983,92.50672725789012
984,984,92.50830341113105
985,985,92.50987452820566
986,986,92.51144570938915
987,987,92.51301185399792
988,988,92.51458826409859
989,989,92.51616473852809
990,990,92.51773617629055
991,991,92.51930767818156
992,992,92.52087924420503
993,993,92.52245087436489
994,994,92.52402256866506
995,995,92.52559432710947
996,996,92.52716614970207
997,997,92.52873293471828
998,998,92.53029468184972
999,999,92.53185649272464
1000,1000,92.53341836734694
1001,1001,92.53498030572052
1002,1002,92.5365423078493
1003,1003,92.53811457844358
1004,1004,92.53968691321741
1005,1005,92.54125931217472
1006,1006,92.54283177531943
1007,1007,92.54441450819505
1008,1008,92.54598709993468
1009,1009,92.54755975587352
1010,1010,92.54913247601552
1011,1011,92.55070526036457
1012,1012,92.55227810892464
1013,1013,92.55384081491007
1014,1014,92.55539848119871
1015,1015,92.55695621108502
1016,1016,92.55851400457293
1017,1017,92.56006165404324
1018,1018,92.56160936670614
1019,1019,92.56315714256549
1020,1020,92.56471008574928
1021,1021,92.5662630923457
1022,1022,92.56781616235861
1023,1023,92.5693692957919
1024,1024,92.57092249264946
1025,1025,92.5724808575804
1026,1026,92.57403928615183
1027,1027,92.57559267351398
1028,1028,92.57715122927387
1029,1029,92.57870984868596
1030,1030,92.5802634265877
1031,1031,92.58181706794095
1032,1032,92.58337587812449
1033,1033,92.58493475197582
1034,1034,92.5864987950823
1035,1035,92.58805779638517
1036,1036,92.58961686136753
1037,1037,92.59118109592958
1038,1038,92.5927402883869
1039,1039,92.59430465064031
1040,1040,92.59585886437908
1041,1041,92.59740803529483
1042,1042,92.59895216307855
1043,1043,92.60049635394326
1044,1044,92.6020406078928
1045,1045,92.60359003166172
1046,1046,92.60513951873187
1047,1047,92.6066890691071
1048,1048,92.60823357574768
1049,1049,92.60977814549243
1050,1050,92.61132277834525
1051,1051,92.61286747431
1052,1052,92.61441223339054
1053,1053,92.61595194802541
1054,1054,92.61748661790544
1055,1055,92.61902135049546
1056,1056,92.62055614579928
1057,1057,92.62209611180353
1058,1058,92.62363103265089
1059,1059,92.62516601622362
1060,1060,92.62669595422967
1061,1061,92.62822595476001
1062,1062,92.6297611263231
1063,1063,92.63130146923595
1064,1064,92.63284187510217
1065,1065,92.63437723510779
1066,1066,92.63590754894348
1067,1067,92.6374430343531
1068,1068,92.6389683642606
1069,1069,92.64049886574973
1070,1070,92.64202942979767
1071,1071,92.64355494696397
1072,1072,92.64508563603663
1073,1073,92.6466163876796
1074,1074,92.64815231165433
1075,1075,92.64968829841594
1076,1076,92.6512192380018
1077,1077,92.6527451301024
1078,1078,92.65427108458363
1079,1079,92.65579710144928
1080,1080,92.65732318070319
1081,1081,92.65884932234918
1082,1082,92.6603755263911
